snapshot_index,offset_M,vertices,triangles,max_angular_edge_deg,min_triangle_doublearea_coordinate,coordinate_center_inertial_x,coordinate_center_inertial_y,closed_manifold
116,0.4149739050385506,1922,3840,9.178777301909355,8.911969700398992e-06,-0.0849858851874834,-0.09705039222831835,True
117,0.41917937851076204,1922,3840,9.176875616296837,8.923920303198568e-06,-0.08475256381631603,-0.09707741102634895,True
118,0.4229669462442871,1922,3840,9.175168961334911,8.934662839925291e-06,-0.0845428406236055,-0.09710147280616077,True
119,0.4255882627126084,1922,3840,9.173991160631076,8.942084451801141e-06,-0.08439789801263427,-0.09711795327313238,True
120,0.4281440462696082,1922,3840,9.172845431432211,8.949310203514036e-06,-0.0842567387827537,-0.0971338863485467,True
121,0.4304564218687119,1922,3840,9.171811045154099,8.955839051910277e-06,-0.08412915880868044,-0.09714818697158012,True
122,0.43462565461368285,1922,3840,9.169951360096958,8.967589667792987e-06,-0.08389945544526962,-0.0971736957571874,True
123,0.437756606801031,1922,3840,9.168559291401678,8.976396572802978e-06,-0.08372723297467174,-0.09719261900785345,True
124,0.44062042296536674,1922,3840,9.16728931748222,8.984438564354728e-06,-0.08356990180938603,-0.09720975426017706,True
125,0.44341264372542355,1922,3840,9.16605417301495,8.992267599854898e-06,-0.08341669510516517,-0.09722630080657621,True
126,0.44593893869887324,1922,3840,9.164939259084239,8.999340813648543e-06,-0.08327823837534519,-0.09724113557863331,True
127,0.45002946324120785,1922,3840,9.1631392254967,9.010773079860607e-06,-0.08305437123427788,-0.09726488273771255,True
128,0.45325654327189113,1922,3840,9.16172367442711,9.019774387875836e-06,-0.08287803609730991,-0.09728337944934312,True
129,0.456114262562096,1922,3840,9.16047345884185,9.027732365914865e-06,-0.0827220871460461,-0.0972995844655119,True
130,0.4589005388697842,1922,3840,9.159257484833008,9.035479628252927e-06,-0.08257022028289591,-0.09731522672046325,True
131,0.4614214555290346,1922,3840,9.158159847739256,9.042479106816822e-06,-0.08243297237748141,-0.0973292452982121,True
132,0.46544432534756197,1922,3840,9.156413199616807,9.053629314189933e-06,-0.08221425760355937,-0.09735135321199656,True
133,0.46862893209390677,1922,3840,9.155034811476524,9.062439119412597e-06,-0.08204138238435664,-0.09736862573750643,True
134,0.47152519618657607,1922,3840,9.153784511283433,9.070438321268607e-06,-0.08188436221975061,-0.09738415920676546,True
135,0.4743490536770878,1922,3840,9.152568469652577,9.078225699890084e-06,-0.08173145272914267,-0.09739914406360545,True
136,0.4769039723591959,1922,3840,9.151470784029135,9.085261408711889e-06,-0.08159326303656311,-0.09741256561168138,True
137,0.48081460767389217,1922,3840,9.149795292553058,9.096012082805385e-06,-0.08138203375091647,-0.0974328591010265,True
138,0.4839661454234374,1922,3840,9.148449115688257,9.104659799773488e-06,-0.08121205907840548,-0.09744899387385186,True
139,0.4869132657413502,1922,3840,9.1471935366931,9.112733661516469e-06,-0.08105331266233602,-0.09746390511964095,True
140,0.4897867080517244,1922,3840,9.145972388639564,9.12059365400403e-06,-0.08089872350242339,-0.09747827929402852,True
141,0.49238648918935723,1922,3840,9.144870117140728,9.127694910174426e-06,-0.08075901701921212,-0.09749114490416683,True
142,0.4962086243581325,1922,3840,9.14325401168667,9.138117495269071e-06,-0.08055389900255634,-0.09750981941444617,True
143,0.4993423345786141,1922,3840,9.141932905106112,9.146647357589934e-06,-0.08038596924543337,-0.09752491740496139,True
144,0.5023266695829989,1922,3840,9.140678036750762,9.15475768728904e-06,-0.08022624752031933,-0.0975391178455838,True
145,0.5052363962122399,1922,3840,9.139457592827913,9.162653194290741e-06,-0.08007070907675115,-0.09755279640351272,True
146,0.5078690060195186,1922,3840,9.138355968596638,9.16978652721633e-06,-0.07993014518695683,-0.09756503052819476,True
147,0.5116212496736807,1922,3840,9.136790061232919,9.179936862019569e-06,-0.0797300645183664,-0.09758223561575194,True
148,0.5147390768470359,1922,3840,9.135492677884034,9.18835612257003e-06,-0.07956404819604863,-0.09759632450188468,True
149,0.5177534329477567,1922,3840,9.134241587385326,9.196483131353942e-06,-0.07940374402731018,-0.09760976749751665,True
150,0.5206924301464824,1922,3840,9.133024824432763,9.204394889172292e-06,-0.07924763854299359,-0.09762270583837587,True
151,0.5233515228496799,1922,3840,9.13192652858052,9.211542916971671e-06,-0.07910656234158492,-0.09763426878525241,True
152,0.5270525985711174,1922,3840,9.130401930348292,9.221475786885271e-06,-0.07891046014893462,-0.09765013690407559,True
153,0.5301595481441836,1922,3840,9.12912571526671,9.22979973121242e-06,-0.0787460667409468,-0.0976632550957626,True
154,0.5331956201816865,1922,3840,9.127881813066521,9.237921074605955e-06,-0.07858562487117067,-0.09767589583355762,True
155,0.5361557904184338,1922,3840,9.126672039905285,9.245827363730084e-06,-0.0784293849815409,-0.09768805120638227,True
156,0.5388340396798412,1922,3840,9.125580052298705,9.252970489742396e-06,-0.07828818704487556,-0.09769890508110513,True
157,0.5424967049780207,1922,3840,9.124090629843632,9.262723516842323e-06,-0.07809533885980292,-0.0977135276605324,True
158,0.5455947488344464,1922,3840,9.122834345960475,9.270959000758865e-06,-0.07793244277562926,-0.09772569747627449,True
159,0.5485390125586491,1922,3840,9.121643410993642,9.278773813869708e-06,-0.07777782163244955,-0.0977370948078237,True
160,0.5514096696902016,1922,3840,9.120485042846743,9.286382184722523e-06,-0.0776272429009281,-0.09774804938699233,True
161,0.5540069309040518,1922,3840,9.119439365017378,9.29325650493047e-06,-0.07749115523208991,-0.09775782679831072,True
162,0.5576325164738591,1922,3840,9.11798342304106,9.30283768109952e-06,-0.07730142464839111,-0.09777126283439908,True
163,0.5606731730294996,1922,3840,9.116765728283793,9.310859730278866e-06,-0.07714251714691334,-0.09778234076816272,True
164,0.5635442951688674,1922,3840,9.115618723867318,9.318423392723838e-06,-0.07699264755228613,-0.09779264180764902,True
165,0.5663436392546828,1922,3840,9.114503001189778,9.325787578060948e-06,-0.07684669068161017,-0.09780253675269585,True
166,0.5688763791417841,1922,3840,9.113495746926285,9.332441633087818e-06,-0.07671477526532895,-0.09781136306287325,True
167,0.5724683745434049,1922,3840,9.112070820062955,9.341864280779707e-06,-0.07652791836393046,-0.09782367557672292,True
168,0.5754610917924765,1922,3840,9.110886823550688,9.349702134396014e-06,-0.07637244053005245,-0.097833750410426,True
169,0.5783607492480769,1922,3840,9.109742406334068,9.357285277903456e-06,-0.07622197400638726,-0.09784335311768769,True
170,0.5811879152670372,1922,3840,9.108629208570203,9.364668430910103e-06,-0.07607543619764884,-0.0978525655951086,True
171,0.5837458273795164,1922,3840,9.107624240856207,9.371339623947428e-06,-0.07594299608427815,-0.09786077307761673,True
172,0.5873148760620097,1922,3840,9.106225510269816,9.380633950738272e-06,-0.07575842719978959,-0.09787202286463997,True
173,0.590307935770852,1922,3840,9.105055642738645,9.388415832574158e-06,-0.0756038459069471,-0.09788127586878698,True
174,0.5932155047171364,1922,3840,9.103921912645326,9.395964593747225e-06,-0.07545385500782578,-0.09789010651014174,True
175,0.5960503844398772,1922,3840,9.102819100627649,9.403314344339708e-06,-0.07530777967201911,-0.09789856675814457,True
176,0.5986152756177034,1922,3840,9.101823500655382,9.409955417192998e-06,-0.07517575692772581,-0.09790609410883291,True
177,0.6021600274157208,1922,3840,9.100450954630926,9.419119960215212e-06,-0.07499351726178471,-0.0979162987629125,True
178,0.6051439437255794,1922,3840,9.099298614292826,9.426822354051293e-06,-0.07484030764182961,-0.09792471071405767,True
179,0.6080632167709155,1922,3840,9.098173922879823,9.434347171125191e-06,-0.0746905907869024,-0.0979327830720299,True
180,0.6109095079900726,1922,3840,9.097079844650201,9.441676167485221e-06,-0.07454480184805583,-0.097940532294608,True
181,0.6134847238554357,1922,3840,9.096092224548197,9.448293757411024e-06,-0.0744129995764696,-0.09794736284966821,True
182,0.6170046420061226,1922,3840,9.09474553755776,9.457329172813648e-06,-0.07423308837398353,-0.0979565427858633,True
183,0.6199804268831031,1922,3840,9.093610000255596,9.464955932469807e-06,-0.07408118204544858,-0.09796412846017458,True
184,0.6229112377068304,1922,3840,9.09249427297048,9.472456845439091e-06,-0.07393174381121488,-0.09797144280735079,True
185,0.6257687782594985,1922,3840,9.091408961202891,9.479760121602417e-06,-0.07378620582580656,-0.09797842495253065,True
186,0.628354172093168,1922,3840,9.090429150504013,9.48635929472326e-06,-0.07365466800720645,-0.09798461521351295,True
187,0.631847599235698,1922,3840,9.08910842999003,9.495263297883438e-06,-0.07347714187413386,-0.09799278853331744,True
188,0.6348142006604576,1922,3840,9.08798977108603,9.50281297010701e-06,-0.07332657646194993,-0.09799955702627924,True
189,0.6377574975449534,1922,3840,9.086882514794178,9.51029283191193e-06,-0.07317736496544472,-0.09800611641557672,True
190,0.64062721200753,1922,3840,9.085805438211082,9.517575680236861e-06,-0.07303204744088929,-0.0980123624682375,True
191,0.6432236203309003,1922,3840,9.084833058500715,9.524156436809369e-06,-0.07290070861357476,-0.0980178867812147,True
192,0.6466892101502708,1922,3840,9.083538287429285,9.532927619867746e-06,-0.07272560765889989,-0.09802507306897182,True
193,0.649646263856539,1922,3840,9.082436323566602,9.540400455023942e-06,-0.07257638582341888,-0.09803103563867155,True
194,0.6526026455057945,1922,3840,9.081337192056418,9.54786120543976e-06,-0.07242736788662364,-0.09803684149440642,True
195,0.6554851176138072,1922,3840,9.080268015329258,9.55512549059423e-06,-0.0722822386331855,-0.09804235283817608,True
196,0.6580930685690873,1922,3840,9.079302764685787,9.561689511503891e-06,-0.07215106977246075,-0.09804721240078543,True
197,0.6615300930257035,1922,3840,9.07803369580209,9.5703280157831e-06,-0.07197840269767054,-0.09805343314613857,True
198,0.664477448319758,1922,3840,9.076948169653702,9.577724806433612e-06,-0.07183051656272538,-0.0980586014338358,True
199,0.6674472222903205,1922,3840,9.075856936856935,9.585167585117023e-06,-0.07168167447317067,-0.09806365421986621,True
200,0.6703427519114484,1922,3840,9.074795440739953,9.592414413610072e-06,-0.07153671630047906,-0.09806843127127599,True
201,0.6729625168068196,1922,3840,9.073837121784479,9.598962696102168e-06,-0.07140570192131622,-0.09807262643202716,True
202,0.6763710918899051,1922,3840,9.072593205431474,9.60747075196368e-06,-0.07123543540682876,-0.09807790466571104,True
203,0.6793089553502796,1922,3840,9.071523737597472,9.614793151846462e-06,-0.07108885967165293,-0.09808229074071165,True
204,0.6821879099106809,1922,3840,9.07047810332035,9.621959082584577e-06,-0.07094538223276155,-0.09808644260560884,True
205,0.6849948906069585,1922,3840,9.069460878752006,9.628936723066737e-06,-0.07080564312105558,-0.09809035145367198,True
206,0.6875345398084391,1922,3840,9.068542453701852,9.635242216999169e-06,-0.07067934239655856,-0.0980937715658908,True
207,0.6909086009004568,1922,3840,9.067367978417609,9.643607712927838e-06,-0.0705117303771609,-0.0980981376880814,True
208,0.6937912700796005,1922,3840,9.06642908546653,9.65074473340372e-06,-0.07036870028193351,-0.09810171299492079,True
209,0.696599629915454,1922,3840,9.065516419328757,9.657688853094445e-06,-0.07022950779193188,-0.09810505681156881,True
210,0.6993377807552861,1922,3840,9.064628480810706,9.66445057290355e-06,-0.0700939371751859,-0.09810818728172169,True
211,0.7018151553243115,1922,3840,9.063826735204731,9.67056112975472e-06,-0.06997139937711672,-0.09811090733035224,True
212,0.705156059415458,1922,3840,9.062747964873395,9.678790731850052e-06,-0.06980633075471743,-0.09811440783034245,True
213,0.7079927104091439,1922,3840,9.061834207269573,9.685768393362987e-06,-0.06966634001287397,-0.09811722917952914,True
214,0.7107288085958317,1922,3840,9.060954739894468,9.69249021919439e-06,-0.06953145360316511,-0.09811981944845627,True
215,0.7133965043276476,1922,3840,9.060099050324858,9.699035963171367e-06,-0.069400073372357,-0.09812222131714746,True
216,0.7158101337990956,1922,3840,9.059326374537859,9.704951489357328e-06,-0.06928131935535303,-0.09812428939102938,True
217,0.7191184249545586,1922,3840,9.058269628482634,9.713049269388785e-06,-0.06911872197377414,-0.09812696206624236,True
218,0.7219089765858371,1922,3840,9.057380356757047,9.719870360665229e-06,-0.06898172801161935,-0.09812907117825956,True
219,0.7246726240764474,1922,3840,9.056501542890057,9.72661725880139e-06,-0.06884619639822395,-0.09813102905280768,True
220,0.7273671803800426,1922,3840,9.055646499966713,9.733187398696956e-06,-0.06871418850961593,-0.09813281283983183,True
221,0.7298051122738798,1922,3840,9.05487441729218,9.739124954681111e-06,-0.0685948678129104,-0.09813432042192596,True
222,0.7330933717298649,1922,3840,9.053835331077375,9.747123213640669e-06,-0.06843410189844608,-0.09813619402013443,True
223,0.7358846803826964,1922,3840,9.052955340300715,9.753903457120935e-06,-0.0682977877463199,-0.0981376407337988,True
224,0.7386550740106941,1922,3840,9.052083807086378,9.76062455098964e-06,-0.06816263577003812,-0.09813894625443559,True
225,0.7413562077981624,1922,3840,9.051235845304491,9.76716960351866e-06,-0.06803099742865634,-0.0981400943828247,True
226,0.7438000907486639,1922,3840,9.050470154574198,9.773084522194842e-06,-0.06791201058164754,-0.09814102717312284,True
227,0.7470717927985788,1922,3840,9.049447343510195,9.780992954796287e-06,-0.0677528891281148,-0.09814211845785284,True
228,0.7498598443917217,1922,3840,9.048577753775032,9.78772321643253e-06,-0.06761744366030095,-0.09814290647573423,True
229,0.7526371730828032,1922,3840,9.047713351359183,9.794419334358205e-06,-0.06748265907382267,-0.09814356173269562,True
230,0.755345068556835,1922,3840,9.04687232531645,9.800940103858758e-06,-0.06735137839567792,-0.09814407621695001,True
231,0.7577950692234481,1922,3840,9.046112895524143,9.806833110355453e-06,-0.06723271468796727,-0.0981444360228477,True
232,0.7610721066794213,1922,3840,9.045099326934016,9.814705441886372e-06,-0.06707416320925784,-0.09814476051417373,True
233,0.7638704461169255,1922,3840,9.044235821258873,9.821418796146218e-06,-0.06693892525851358,-0.09814489588274147,True
234,0.7666423066707466,1922,3840,9.04338230097661,9.828060483694326e-06,-0.06680510549340625,-0.09814490135417431,True
235,0.7693448707104835,1922,3840,9.04255185296431,9.834528323633258e-06,-0.06667476386634788,-0.09814478382188985,True
236,0.771790047698687,1922,3840,9.041801966681307,9.840373557597887e-06,-0.0665569483362803,-0.09814457304569052,True
237,0.7750450719813671,1922,3840,9.040805879181308,9.848145033764181e-06,-0.06640027776088366,-0.09814413869071406,True
238,0.7778195073738061,1922,3840,9.039958803709306,9.854760333159054e-06,-0.06626688793670225,-0.09814363005306093,True
239,0.7806074389536661,1922,3840,9.039109404523433,9.861399747324283e-06,-0.06613298728053653,-0.09814299088024542,True
240,0.7833256722442457,1922,3840,9.038282970097148,9.867865379925819e-06,-0.06600256709759271,-0.09814224428739629,True
241,0.7857850261734711,1922,3840,9.037536711372997,9.873708628206412e-06,-0.06588468085532033,-0.09814146399417545,True
242,0.7889836782342172,1922,3840,9.036568202178046,9.881299046022853e-06,-0.06573151747028555,-0.09814030033202736,True
243,0.7917305669557209,1922,3840,9.0357383525487,9.88780901007135e-06,-0.06560013056787463,-0.09813916695210648,True
244,0.7945478701481079,1922,3840,9.034889021843094,9.89447777305872e-06,-0.06546551401033977,-0.09813787610633756,True
245,0.7972947407606625,1922,3840,9.034062666137462,9.9009719736427e-06,-0.06533439752653335,-0.0981364924866572,True
