stage,sxs_id,lev,horizon,snapshot_index,field,actual_time_M,offset_M,n_surface_points,Mch,gradient_q95,active_points,largest_component_points,largest_component_fraction_of_active,shuffle_p,centroid_x,centroid_y,centroid_z,candidate_snapshot
BH-HF1R,SXS:BBH:0305,6,C,103,Bstar,3685.8614395087843,0.3651716400931946,1922,0.8992091346253511,1.7044932808275657,97,49,0.5051546391752577,0.335,-0.20026020077640722,0.9797427478603691,-7.884684704443129e-08,False
BH-HF1R,SXS:BBH:0305,6,C,104,Rstar,3685.864794223239,0.3685263545480666,1922,0.8993026440011375,3.5265949880553307,97,39,0.4020618556701031,0.66,0.05407442981757658,-0.998467176075889,-0.011800607566717277,False
BH-HF1R,SXS:BBH:0305,6,C,104,Estar,3685.864794223239,0.3685263545480666,1922,0.8993026440011375,4.32073140381064,97,84,0.865979381443299,0.005,0.24066933104573163,-0.9706071672381132,-7.334251153501676e-08,True
BH-HF1R,SXS:BBH:0305,6,C,104,Bstar,3685.864794223239,0.3685263545480666,1922,0.8993026440011375,1.7004542596029069,97,49,0.5051546391752577,0.34,-0.2003443583753998,0.97972554221432,-7.881203706474563e-08,False
BH-HF1R,SXS:BBH:0305,6,C,105,Rstar,3685.8692317364935,0.3729638678023548,1922,0.8994259063359781,3.532955298149575,97,54,0.5567010309278351,0.01,0.15067548181550303,-0.9715627601370096,-0.1826545983396574,True
BH-HF1R,SXS:BBH:0305,6,C,105,Estar,3685.8692317364935,0.3729638678023548,1922,0.8994259063359781,4.322316440542823,97,84,0.865979381443299,0.005,0.24052401542707277,-0.9706431877898448,-7.332745401135042e-08,True
BH-HF1R,SXS:BBH:0305,6,C,105,Bstar,3685.8692317364935,0.3729638678023548,1922,0.8994259063359781,1.6950839169668688,97,49,0.5051546391752577,0.275,-0.20045546481128074,0.979702815463591,-7.878852830475409e-08,False
BH-HF1R,SXS:BBH:0305,6,C,106,Rstar,3685.873097487745,0.37682961905375123,1922,0.8995328789236711,3.5429384803535444,97,54,0.5567010309278351,0.005,0.15055351690237884,-0.9715778291578837,-0.18267501317142254,True
BH-HF1R,SXS:BBH:0305,6,C,106,Estar,3685.873097487745,0.37682961905375123,1922,0.8995328789236711,4.337457945514291,97,84,0.865979381443299,0.005,0.24039768456284857,-0.9706744836745301,-7.331430664899723e-08,True
BH-HF1R,SXS:BBH:0305,6,C,106,Bstar,3685.873097487745,0.37682961905375123,1922,0.8995328789236711,1.6907679619154399,97,49,0.5051546391752577,0.32,-0.20055205210340846,0.9796830479278007,-7.87680174016073e-08,False
BH-HF1R,SXS:BBH:0305,6,C,107,Rstar,3685.8768665952152,0.38059872652411286,1922,0.8996368147716437,3.545790695405304,97,54,0.5567010309278351,0.005,0.15043484096118265,-0.9715924852108864,-0.18269483108921586,True
BH-HF1R,SXS:BBH:0305,6,C,107,Estar,3685.8768665952152,0.38059872652411286,1922,0.8996368147716437,4.348055495063608,97,84,0.865979381443299,0.005,0.2402747446612873,-0.9707049227638375,-7.330149702504525e-08,True
BH-HF1R,SXS:BBH:0305,6,C,107,Bstar,3685.8768665952152,0.38059872652411286,1922,0.8996368147716437,1.686948487712942,97,49,0.5051546391752577,0.365,-0.20064604354702353,0.9796638021326091,-7.874802936669811e-08,False
BH-HF1R,SXS:BBH:0305,6,C,108,Rstar,3685.8802767400693,0.3840088713782279,1922,0.8997305447116284,3.5573119467292513,97,54,0.5567010309278351,0.005,0.15197958573483583,-0.9716574772828516,-0.18106339320854536,True
BH-HF1R,SXS:BBH:0305,6,C,108,Estar,3685.8802767400693,0.3840088713782279,1922,0.8997305447116284,4.341114946821469,97,84,0.865979381443299,0.005,0.2401637104044768,-0.9707323998944041,-7.328981870005347e-08,True
BH-HF1R,SXS:BBH:0305,6,C,108,Bstar,3685.8802767400693,0.3840088713782279,1922,0.8997305447116284,1.6843957171680806,97,49,0.5051546391752577,0.31,-0.20073092999478476,0.9796464126119294,-7.872985229314056e-08,False
BH-HF1R,SXS:BBH:0305,6,C,109,Rstar,3685.8845820222464,0.3883141535552568,1922,0.899848465125623,3.5685424722455683,97,54,0.5567010309278351,0.005,0.15184490487401364,-0.9716743486755837,-0.18108584977761807,True
BH-HF1R,SXS:BBH:0305,6,C,109,Estar,3685.8845820222464,0.3883141535552568,1922,0.899848465125623,4.348062593959865,97,84,0.865979381443299,0.005,0.24002379616383135,-0.9707670046283496,-7.327500397278866e-08,True
BH-HF1R,SXS:BBH:0305,6,C,109,Bstar,3685.8845820222464,0.3883141535552568,1922,0.899848465125623,1.6835601482229323,97,49,0.5051546391752577,0.32,-0.20083789165533514,0.9796244899324605,-7.870682986555236e-08,False
BH-HF1R,SXS:BBH:0305,6,C,110,Rstar,3685.888422535492,0.39215466680070676,1922,0.8999532687387689,3.5792356444593927,97,54,0.5567010309278351,0.005,0.1517250188567862,-0.9716893595906491,-0.1811057898335178,True
BH-HF1R,SXS:BBH:0305,6,C,110,Estar,3685.888422535492,0.39215466680070676,1922,0.8999532687387689,4.359799951895322,97,84,0.865979381443299,0.005,0.23989923505309502,-0.9707977940956266,-7.326173290354985e-08,True
BH-HF1R,SXS:BBH:0305,6,C,110,Bstar,3685.888422535492,0.39215466680070676,1922,0.8999532687387689,1.6827982930352978,97,49,0.5051546391752577,0.33,-0.20093311265848662,0.9796049633588867,-7.86862349324155e-08,False
BH-HF1R,SXS:BBH:0305,6,C,111,Rstar,3685.8921887297047,0.3959208610135647,1922,0.9000556928994765,3.584495184904727,97,67,0.6907216494845361,0.005,0.21329990996884288,-0.9769195083143388,-0.011463973227198165,True
BH-HF1R,SXS:BBH:0305,6,C,111,Estar,3685.8921887297047,0.3959208610135647,1922,0.9000556928994765,4.366965955796202,97,84,0.865979381443299,0.005,0.239777310926589,-0.9708279153201193,-7.324871986469456e-08,True
BH-HF1R,SXS:BBH:0305,6,C,111,Bstar,3685.8921887297047,0.3959208610135647,1922,0.9000556928994765,1.682283957268994,97,49,0.5051546391752577,0.37,-0.2010263146219544,0.9795858414807295,-7.866604053069412e-08,False
BH-HF1R,SXS:BBH:0305,6,C,112,Rstar,3685.8957592568995,0.39949138820838925,1922,0.9001524757064671,3.581016353904239,97,68,0.7010309278350515,0.005,0.20890757326390771,-0.9779353893959353,-7.259709373616603e-08,True
BH-HF1R,SXS:BBH:0305,6,C,112,Estar,3685.8957592568995,0.39949138820838925,1922,0.9001524757064671,4.366606693626821,97,84,0.865979381443299,0.005,0.23966192741700712,-0.9708564057298895,-7.323627782331091e-08,True
BH-HF1R,SXS:BBH:0305,6,C,112,Bstar,3685.8957592568995,0.39949138820838925,1922,0.9001524757064671,1.6817799758607455,97,49,0.5051546391752577,0.365,-0.20111451386976742,0.9795677374796095,-7.864678544173673e-08,False
BH-HF1R,SXS:BBH:0305,6,C,113,Rstar,3685.90000527957,0.4037374108788754,1922,0.9002671663666921,3.5752046281145797,97,69,0.711340206185567,0.005,0.2123731652477172,-0.9771378613055003,-0.009961861571939942,True
BH-HF1R,SXS:BBH:0305,6,C,113,Estar,3685.90000527957,0.4037374108788754,1922,0.9002671663666921,4.374730999602784,97,84,0.865979381443299,0.005,0.2395249746244639,-0.9708902031286261,-7.32214274627204e-08,True
BH-HF1R,SXS:BBH:0305,6,C,113,Bstar,3685.90000527957,0.4037374108788754,1922,0.9002671663666921,1.6774300845504744,97,49,0.5051546391752577,0.365,-0.2012191970312499,0.9795462392077736,-7.86238314525127e-08,False
BH-HF1R,SXS:BBH:0305,6,C,114,Rstar,3685.903823901421,0.4075560327300991,1922,0.9003699418992572,3.575114224918264,97,69,0.711340206185567,0.005,0.20992100837387537,-0.9776684420027988,-0.00987865148264494,True
BH-HF1R,SXS:BBH:0305,6,C,114,Estar,3685.903823901421,0.4075560327300991,1922,0.9003699418992572,4.3703188818511505,97,84,0.865979381443299,0.005,0.2394020470004408,-0.9709205219233926,-7.320800613478474e-08,True
BH-HF1R,SXS:BBH:0305,6,C,114,Bstar,3685.903823901421,0.4075560327300991,1922,0.9003699418992572,1.6765232279131312,97,51,0.5257731958762887,0.11,-0.21895736582566394,0.9757344269578071,-7.92052802556684e-08,False
BH-HF1R,SXS:BBH:0305,6,C,115,Rstar,3685.9075523466304,0.4112844779392617,1922,0.9004699532979815,3.576345663476585,97,69,0.711340206185567,0.005,0.2097989105889002,-0.9776946393210444,-0.009879744865311256,True
BH-HF1R,SXS:BBH:0305,6,C,115,Estar,3685.9075523466304,0.4112844779392617,1922,0.9004699532979815,4.361159085167187,97,84,0.865979381443299,0.005,0.23928224021749708,-0.9709500551091651,-7.319499747083044e-08,True
BH-HF1R,SXS:BBH:0305,6,C,115,Bstar,3685.9075523466304,0.4112844779392617,1922,0.9004699532979815,1.6756421243944555,97,51,0.5257731958762887,0.11,-0.21904838044839103,0.9757139985789538,-7.918419598892721e-08,False
BH-HF1R,SXS:BBH:0305,6,C,116,Rstar,3685.9112417737297,0.4149739050385506,1922,0.9005686642509579,3.5778875204571743,97,69,0.711340206185567,0.005,0.20480529586453633,-0.978763289866503,-0.008787103933589124,True
BH-HF1R,SXS:BBH:0305,6,C,116,Estar,3685.9112417737297,0.4149739050385506,1922,0.9005686642509579,4.3556216202794795,97,84,0.865979381443299,0.005,0.25482221449144743,-0.9669879208147687,-7.260476233500294e-08,True
BH-HF1R,SXS:BBH:0305,6,C,116,Bstar,3685.9112417737297,0.4149739050385506,1922,0.9005686642509579,1.6728868104241605,97,51,0.5257731958762887,0.14,-0.21913825474165163,0.9756938173980487,-7.890046333629611e-08,False
BH-HF1R,SXS:BBH:0305,6,C,117,Rstar,3685.915447247202,0.41917937851076204,1922,0.9006806375200116,3.581504241918088,97,69,0.711340206185567,0.005,0.20466801691841982,-0.9787920010269093,-0.008787580805892864,True
BH-HF1R,SXS:BBH:0305,6,C,117,Estar,3685.915447247202,0.41917937851076204,1922,0.9006806375200116,4.35795767504552,97,84,0.865979381443299,0.005,0.25468590095162674,-0.9670238321036628,-7.283226818817066e-08,True
BH-HF1R,SXS:BBH:0305,6,C,117,Bstar,3685.915447247202,0.41917937851076204,1922,0.9006806375200116,1.6682564968025848,97,51,0.5257731958762887,0.13,-0.21924056000519146,0.9756708342717864,-7.913895518432382e-08,False
BH-HF1R,SXS:BBH:0305,6,C,118,Rstar,3685.9192348149354,0.4229669462442871,1922,0.9007811922588936,3.5806556886043204,97,69,0.711340206185567,0.005,0.20454465005335126,-0.97881778542414,-0.008788007278922873,True
BH-HF1R,SXS:BBH:0305,6,C,118,Estar,3685.9192348149354,0.4229669462442871,1922,0.9007811922588936,4.354856131241455,97,84,0.865979381443299,0.005,0.255731207894798,-0.9667479243880808,-7.306971683386413e-08,True
BH-HF1R,SXS:BBH:0305,6,C,118,Bstar,3685.9192348149354,0.4229669462442871,1922,0.9007811922588936,1.664738031888245,97,51,0.5257731958762887,0.095,-0.21933249835426147,0.9756501704841093,-7.911724406311361e-08,False
BH-HF1R,SXS:BBH:0305,6,C,119,Rstar,3685.9218561314037,0.4255882627126084,1922,0.9008505889745122,3.5846191770634563,97,69,0.711340206185567,0.005,0.20445940398637244,-0.9788355928814033,-0.008788300748661193,True
BH-HF1R,SXS:BBH:0305,6,C,119,Estar,3685.9218561314037,0.4255882627126084,1922,0.9008505889745122,4.353451151807706,97,84,0.865979381443299,0.005,0.2556477885435,-0.9667699872321299,-7.30597986227649e-08,True
BH-HF1R,SXS:BBH:0305,6,C,119,Bstar,3685.9218561314037,0.4255882627126084,1922,0.9008505889745122,1.6623587156987687,97,51,0.5257731958762887,0.08,-0.21939602963260552,0.9756358860668475,-7.910218877581276e-08,False
BH-HF1R,SXS:BBH:0305,6,C,120,Rstar,3685.9244119149607,0.4281440462696082,1922,0.9009180971172395,3.591005900257243,97,69,0.711340206185567,0.005,0.2018478379643586,-0.979341553478449,-0.012147919144133476,True
